Genus,Species,Subspecies,Preliminary,Herbarium,Collector,Colnumber,Country,Latitude,Dlatitude,Longitude,Dlongitude,Elevation,Sex,Stemheight,Stemdiameter,Petiole,Petiolewid,Segments,Lencenseg,Widcenseg,Nonsplit,Lenlatseg,Widlatseg,Nonsplitlat,Rachlen,Proxraclen,Proxracwid,Fruitlen,Fruitdiam,Ocreas,Hastula,Centseg,Joined,Scales,Indume,Inflor,Bracts,Rachil,Pedicel,Tubular,Filament,Pediform,Frcolor
Rhapis,humilis,,humilis,K,Song Xianghou,135,China,25.15,25.25,108,108,,,,,21,1.5,16,20,0.9,1.5,17.5,0.5,1.3,,,,,,3,0,2,1,1,1,,,,,,,,
Rhapis,humilis,,humilis,KUN,Hongshuihe Team,246,China,24.28,24.46,106.22,106.36,1200,,2,,,,,,,,,,,,,,,,3,0,2,1,,,0,0,0,,,,,
Rhapis,humilis,,humilis,KUN,Qiannam Team,431,China,25.13,25.23,106.45,106.76,650,,,,,,,,,,,,,,,,,,3,,2,1,,,0,0,0,,,,,
Rhapis,humilis,,humilis,A,Steward,518,China,24.24,24.4,106.3,106.51,1150,pistillate,,,31.7,3.7,,31.5,1.7,5.5,,,,26.5,8,0.9,,,,,2,1,1,1,0,0,0,,,,,
Rhapis,humilis,,humilis,KUN,Qiannam Team,717,China,25.15,25.25,106.45,106.75,500,,2,,,,,,,,,,,,,,,,3,,2,1,,,0,0,0,,,,,
Rhapis,humilis,,humilis,MO,Wei Fanan,1755,China,24.36,24.6,107.37,107.63,,pistillate,,,,5,28,40,1.1,8,,,4,21,10.5,1,,,,,2,1,1,1,,0,,,,,,
Rhapis,humilis,,humilis,NY,Y. Tsiang,6274,China,25.54,25.9,107.56,107.93,,sterile,,,27,2.5,,,,,,,,,,,,,3,,2,1,1,1,,,,,,,,
Rhapis,humilis,,humilis,NY,R. C. Ching,7456,China,23.5,23.83,106.27,106.45,915,sterile,,,,2.7,19,,1.2,5,26,0.8,2.5,,,,,,,0,,,,,,,,,,,,
Rhapis,humilis,,humilis,NY,A. Henry,10173,China,22.38,22.63,103.49,103.82,,sterile,,,36,3.7,13,33,2.3,8.5,,2.4,2.5,,,,,,,0,2,1,1,1,,,,,,,,
Rhapis,humilis,,humilis,A,Feng,13462,China,23.09,23.15,104.43,104.73,1250,pistillate,,,,,,,,,,,,,,,7,7.1,3,,2,1,1,1,,0,,1,0,,0,yellow
Rhapis,humilis,,humilis,MO,Liu Xinqi,28648,China,23.06,23.1,106.3,106.5,,pistillate,,,,4.5,13,,2.7,10.5,,2.1,5.3,,6,0.9,,,,,2,1,1,1,,0,,1,0,,0,
Rhapis,humilis,,humilis,KUN,Dianqian Team,40047,China,25.18,25.3,106.53,106.88,450,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhapis,kebangensis,,kebangensis,HNU,NT,9,Vietnam,17.26,17.43,106.08,106.13,,pistillate,,0.37,11,0.9,3,10.9,2,0.4,10.5,0.5,0.3,,,,,,,,0,0,1,0,,0,,,1,,,
Rhapis,kebangensis,,kebangensis,NY,Nguyen Quoc Dung,2035,Vietnam,17.26,17.43,106.08,106.13,450,pistillate,,0.38,17.7,0.9,3,12,1.7,0.3,12,0.9,0.2,2.5,4.7,0.6,5.6,4.8,1,1,0,0,1,0,1,0,1,1,,,1,
